id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,main_artist
4SCnCPOUOUXUmCX2uHb3r7,Outta Time (feat. Drake),72,198822,0,"['Bryson Tiller', 'Drake']","['2EMAnMvWE2eb56ToJVfCWs', '3TVXtAsR1Inumwj472S9r4']",10/2/20,0.7140000000000001,0.5820000000000001,5,-7.272,0,0.0808,0.0129,0,0.0774,0.33799999999999997,92.819,4,Drake
2XlHu0HcujBCkWMdIAvrqt,Blem,66,216558,0,['Drake'],['3TVXtAsR1Inumwj472S9r4'],3/18/17,0.726,0.535,7,-7.804,0,0.0476,0.0533,1.3800000000000002e-05,0.0984,0.375,98.06700000000001,4,Drake
6dKYAtGciLRm8uOD1LiSVf,Anticipating,52,196107,0,['Britney Spears'],['26dSoYclwsYLMAKD3tpOr4'],10/31/01,0.7170000000000001,0.877,0,-4.266,1,0.0375,0.0136,0.000814,0.0616,0.794,111,4,Britney
3g3LzkOMh3lx2FmCgb40bj,What Is and What Should Never Be - Remaster,49,286231,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],10/22/69,0.353,0.593,9,-9.675,1,0.0457,0.311,0,0.0685,0.488,82.56,4,Zeppelin
7v3l2PEaxnex3NylNusT4Y,South Bound Saurez - 1993 Remaster,31,252733,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],8/15/79,0.535,0.897,5,-8.465,1,0.037000000000000005,0.078,0.0757,0.28800000000000003,0.5589999999999999,96.035,4,Zeppelin
5dHpbFmZjWucrol0M7aNGU,The Language,53,224040,1,['Drake'],['3TVXtAsR1Inumwj472S9r4'],1/1/13,0.823,0.662,7,-8.426,1,0.318,0.0118,0,0.0805,0.5329999999999999,120.117,4,Drake
1ZUv3ISx2nFaz0JimVdcoT,That's the Way - Remaster,57,337110,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],1970,0.245,0.32799999999999996,6,-11.553,1,0.0377,0.6729999999999999,0,0.138,0.102,86.926,4,Zeppelin
3ppVO2tyWRRznNmONvt7Se,Summers Over Interlude,60,106333,1,"['Drake', 'Majid Jordan']","['3TVXtAsR1Inumwj472S9r4', '4HzKw8XcD0piJmDrrPRCYk']",5/6/16,0.6990000000000001,0.255,4,-8.647,0,0.0303,0.405,0.00242,0.0985,0.242,132.031,3,Drake
3VsNds657xlzgFrbmp4Up9,Out on the Tiles - Remaster,34,247345,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],10/5/70,0.418,0.9620000000000001,4,-8.423,1,0.0567,0.083,0.00282,0.138,0.59,94.141,4,Zeppelin
1PpSenBXeetCWotWWrtYgg,Candy Store Rock - 1990 Remaster,27,251680,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],3/31/76,0.561,0.943,0,-9.24,1,0.0403,0.00837,0.00322,0.263,0.736,114.714,4,Zeppelin
3ccS39OjqAXc6rRQkrylxh,Take Care,44,277386,1,"['Drake', 'Rihanna']","['3TVXtAsR1Inumwj472S9r4', '5pKCCKE2ajJHZ9KAiaK11H']",11/15/11,0.629,0.515,0,-10.358,0,0.265,0.0267,1.22e-05,0.0888,0.299,121.845,4,Drake
4PRGxHpCpF2yoOHYKQIEwD,Rock and Roll - Remaster,69,220561,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],11/8/71,0.317,0.887,9,-7.292,1,0.0375,0.000582,0.00258,0.0891,0.871,169.613,4,Zeppelin
1DmnEYXa4WfbdhAPwNzgD8,30 for 30 Freestyle,56,253935,1,['Drake'],['3TVXtAsR1Inumwj472S9r4'],9/20/15,0.7440000000000001,0.619,4,-9.143,0,0.39799999999999996,0.6709999999999999,0,0.12300000000000001,0.317,89.25200000000001,4,Drake
2wV6F22JUYYhVidQZgcWrH,Sick Again - Remaster,31,282320,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],2/24/75,0.431,0.909,9,-8.899,1,0.0399,0.3,0.00342,0.462,0.55,113.20100000000001,4,Zeppelin
3cp4kK4ZWCWXLWaCUvS3Fj,"I Can't Quit You Baby - Live in Paris, 1969",29,401320,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],1/12/69,0.231,0.748,2,-9.289,1,0.0983,0.000168,0.00922,0.794,0.292,144.707,3,Zeppelin
6n4U3TlzUGhdSFbUUhTvLP,Walk It Talk It,77,276147,1,"['Migos', 'Drake']","['6oMuImdp5ZcFhWP0ESe6mG', '3TVXtAsR1Inumwj472S9r4']",1/26/18,0.907,0.633,2,-5.145,1,0.184,0.0876,2.6e-06,0.106,0.395,145.914,4,Drake
3UsvZGhlJrBTX2OWXh2BvC,That's the Way - Remaster,36,337110,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],10/5/70,0.245,0.32799999999999996,6,-11.553,1,0.0377,0.6729999999999999,0,0.138,0.102,86.926,4,Zeppelin
2EvwLVrnYbCZEG6Kx5DCRy,Piece of Me,68,212107,0,['Britney Spears'],['26dSoYclwsYLMAKD3tpOr4'],10/25/07,0.769,0.638,11,-5.054,1,0.21600000000000003,0.0902,0,0.0857,0.782,115.007,4,Britney
3eN46sMTppXYMAyWi37wn1,Come Thru,60,236360,1,['Drake'],['3TVXtAsR1Inumwj472S9r4'],1/1/13,0.5579999999999999,0.46799999999999997,3,-5.812,1,0.17300000000000001,0.159,0,0.586,0.405,81.977,4,Drake
2WP8G2pdddDmnh1xbfKBOI,Finesse,73,182080,0,['Drake'],['3TVXtAsR1Inumwj472S9r4'],6/29/18,0.807,0.319,0,-8.152,0,0.0581,0.133,0.000338,0.10099999999999999,0.299,94.992,4,Drake
4NVNapccSX7E5JLiW0uQEy,Pound Cake / Paris Morton Music 2,63,432853,1,"['Drake', 'JAY-Z']","['3TVXtAsR1Inumwj472S9r4', '3nFkdlSjzX9mRTtwJOzDYB']",1/1/13,0.52,0.7609999999999999,2,-6.75,1,0.536,0.139,1.13e-05,0.114,0.264,164.083,4,Drake
1zi7xx7UVEFkmKfv06H8x0,One Dance,83,173987,0,"['Drake', 'WizKid', 'Kyla']","['3TVXtAsR1Inumwj472S9r4', '3tVQdUvClmAT7URs9V3rsp', '77DAFfvm3O9zT5dIoG0eIO']",5/6/16,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.32899999999999996,0.37,103.96700000000001,4,Drake
0HBoBMAZ473sqqFP5USbt1,Dancing Days - 1990 Remaster,37,221600,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],3/28/73,0.568,0.8370000000000001,0,-8.128,1,0.0406,0.151,0.00322,0.317,0.758,117.398,4,Zeppelin
5gwign6hATXgMHxYrRix9L,Achilles Last Stand - 1990 Remaster,45,622000,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],3/31/76,0.332,0.8859999999999999,2,-8.4,1,0.0535,0.00641,0.131,0.205,0.326,146.039,4,Zeppelin
4r8AQvzullpWTDpgv70KxD,The Rover - Remaster,40,339475,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],2/24/75,0.618,0.769,9,-8.012,1,0.0248,0.0123,0.00829,0.23,0.385,102.678,4,Zeppelin
27Mq86KAZ9O4V6DQ6gbSR9,Since I've Been Loving You - 1990 Remaster,39,442933,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],10/5/70,0.41700000000000004,0.369,5,-10.605,0,0.0356,0.00254,0.0152,0.0794,0.37,117.79899999999999,3,Zeppelin
1TdeOVizQgzr4ul5BxfTlc,Poor Tom - 1990 Remaster,21,182093,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],11/19/82,0.636,0.748,1,-10.967,1,0.0537,0.0131,0.00291,0.0564,0.8340000000000001,105.741,4,Zeppelin
5MWfv4F84sJhScYq18yqbN,Dazed and Confused - Remaster,51,388667,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],1/12/69,0.24,0.546,2,-10.026,1,0.0548,0.0898,0.00648,0.0898,0.429,181.373,4,Zeppelin
1MmxrJ35NzNxHjPdyKDhut,Kashmir - 1990 Remaster,26,508200,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],2/24/75,0.48,0.536,2,-11.166,1,0.0427,0.488,4.22e-05,0.155,0.581,80.617,3,Zeppelin
4uxti0X0LKCVhrWDoJs9HK,"Good Times Bad Times / Communication Breakdown - Live in Paris, 1969",32,232933,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],1/12/69,0.22899999999999998,0.8590000000000001,9,-7.452,1,0.0616,7.75e-05,0.00117,0.868,0.47700000000000004,98.044,4,Zeppelin
1O9JBEDrasxqxkoHKcPy95,The Song Remains the Same - (Live at MSG 1973) [Remaster],39,339520,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],10/22/76,0.226,0.966,2,-6.038,1,0.10300000000000001,0.00136,0.0106,0.35200000000000004,0.33899999999999997,144.924,4,Zeppelin
2e61kmae4HhbuS9hYONQ0A,The Song Remains the Same - Remaster,48,329094,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],3/28/73,0.255,0.815,7,-8.197,1,0.0545,0.0747,0.47100000000000003,0.22699999999999998,0.6990000000000001,144.549,4,Zeppelin
0JaVdpmiex2EP7bBzyKVTa,November 18th,62,188189,1,['Drake'],['3TVXtAsR1Inumwj472S9r4'],2009,0.7490000000000001,0.47600000000000003,11,-11.147,0,0.507,0.579,0,0.1,0.534,71.937,4,Drake
2fkeWbM6iqTw7oGHTYm2lw,4422,65,186293,0,"['Drake', 'Sampha']","['3TVXtAsR1Inumwj472S9r4', '2WoVwexZuODvclzULjPQtm']",3/18/17,0.609,0.22899999999999998,11,-12.36,0,0.0333,0.5579999999999999,0.0413,0.113,0.19,111.887,4,Drake
55ZL7fjGAWfClmpnsK6Xon,No Quarter - Remaster,54,422680,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],2007,0.336,0.33899999999999997,11,-14.237,1,0.0397,0.7240000000000001,0.608,0.126,0.0768,139.869,4,Zeppelin
2w9K8zyrxcAwRKRti0BvFa,Mr. Wrong,53,241853,0,"['Mary J. Blige', 'Drake']","['1XkoF8ryArs86LZvFOkbyr', '3TVXtAsR1Inumwj472S9r4']",1/1/11,0.693,0.6759999999999999,0,-5.024,0,0.15,0.193,8.18e-06,0.126,0.461,143.05700000000002,4,Drake
3FFcZZq3Z3EJrhUecwcMdG,She Will,65,305840,1,"['Lil Wayne', 'Drake']","['55Aa2cqylxrFIXC767Z865', '3TVXtAsR1Inumwj472S9r4']",1/1/11,0.364,0.841,8,-4.831,1,0.11900000000000001,0.000402,0,0.242,0.0837,100.14,5,Drake
0Y0TOsE1q11qgbi7c5WZsG,R.I.C.O. (feat. Drake),72,197133,1,"['Meek Mill', 'Drake']","['20sxb77xiYeusSH8cVdatc', '3TVXtAsR1Inumwj472S9r4']",6/29/15,0.727,0.599,1,-6.941,1,0.327,0.317,0,0.21899999999999997,0.386,167.90900000000002,3,Drake
1CtUfc6raOhth6f0ANYikw,Scream & Shout,38,282120,1,"['will.i.am', 'Britney Spears']","['085pc2PYOi8bGKj0PNjekA', '26dSoYclwsYLMAKD3tpOr4']",1/1/13,0.773,0.685,5,-6.849,1,0.0703,0.019,8.96e-05,0.138,0.501,130.033,4,Britney
66cIVXwMJQKw4GnxIiCeP2,She Will,57,305840,1,"['Lil Wayne', 'Drake']","['55Aa2cqylxrFIXC767Z865', '3TVXtAsR1Inumwj472S9r4']",1/1/11,0.364,0.841,8,-4.831,1,0.11900000000000001,0.000402,0,0.242,0.0841,100.14,5,Drake
2W76zIzxrSLb5dqLz6s2tJ,Black Mountain Side - Remaster,34,132587,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],1/12/69,0.652,0.44,6,-10.584,1,0.0392,0.687,0.9,0.122,0.701,116.053,4,Zeppelin
6HSqyfGnsHYw9MmIpa9zlZ,Forever,68,357347,1,"['Drake', 'Kanye West', 'Lil Wayne', 'Eminem']","['3TVXtAsR1Inumwj472S9r4', '5K4W6rqBFWDnAN6FQUkS6x', '55Aa2cqylxrFIXC767Z865', '7dGJo4pcD2V6oG8kP0tJRR']",1/1/09,0.415,0.9259999999999999,5,-1.304,0,0.374,0.253,0,0.256,0.542,158.423,4,Drake
1dK6cNOMYjEP3QGYOfwP6t,Bron-Y-Aur Stomp - Remaster,56,257346,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],1970,0.525,0.501,1,-14.192,1,0.0318,0.16,0.025,0.146,0.33299999999999996,108.291,4,Zeppelin
3oT6aHD66EiGD5SALrKfHV,Thank You - Remaster,39,289485,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],10/22/69,0.292,0.306,7,-13.158,1,0.0547,0.184,0.0046,0.14400000000000002,0.131,79.406,4,Zeppelin
5VBzIn9cBH4BNa1c6Zilba,How Many More Times - 1993 Remaster,54,508000,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],1/12/69,0.322,0.68,9,-11.349,1,0.061,0.114,0.0245,0.434,0.518,142.748,4,Zeppelin
0ducHx1R45CnEloZ6tUVuC,Babe I'm Gonna Leave You - Remaster,51,402920,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],2007,0.408,0.465,4,-11.772,0,0.0338,0.365,6.01e-05,0.215,0.151,135.668,4,Zeppelin
1xg1yGPy1Y3YUf44s6TB1o,"I'm Not a Girl, Not Yet a Woman",61,231067,0,['Britney Spears'],['26dSoYclwsYLMAKD3tpOr4'],10/31/01,0.534,0.5429999999999999,3,-6.857,1,0.0245,0.579,0,0.11199999999999999,0.418,78.99600000000001,4,Britney
4xRxYWgAtL6pzRz94GlZlA,The Ride,56,351000,1,['Drake'],['3TVXtAsR1Inumwj472S9r4'],11/15/11,0.556,0.7020000000000001,0,-10.079,0,0.205,0.517,0,0.34299999999999997,0.7929999999999999,155.94799999999998,4,Drake
0PXp9QxBfSKGGpWUNaws2X,Drama (feat. Drake),77,251860,1,"['Roy Woods', 'Drake']","['7mDU6nMUJnOSY2Hkjz5oqM', '3TVXtAsR1Inumwj472S9r4']",7/31/15,0.7090000000000001,0.36200000000000004,11,-9.814,1,0.055,0.157,0,0.109,0.113,122.04299999999999,4,Drake
5pekaGq0N6VkDiTZJgK18A,Only,53,312027,1,"['Nicki Minaj', 'Drake', 'Lil Wayne', 'Chris Brown']","['0hCNtLu0JehylgoiP8L4Gh', '3TVXtAsR1Inumwj472S9r4', '55Aa2cqylxrFIXC767Z865', '7bXgB6jMjp9ATFy66eO08Z']",12/15/14,0.6679999999999999,0.494,8,-7.251,0,0.73,0.41100000000000003,0,0.0969,0.257,120.056,4,Drake
